X,Y,jurisdiction,platformtype,platformid,sourcerecord,objectid,operator,platformname
-10069885.8533,3357520.7646,Federal,,22421,Bureau of Ocean Energy Management,533,,A-AUX
-9934120.0253,3371465.4506,Federal,,22433,Bureau of Ocean Energy Management,534,,189
-10044697.7922,3328308.1486,Federal,,22439,Bureau of Ocean Energy Management,535,,W
-9978866.7338,3376457.1556,Federal,,22208,Bureau of Ocean Energy Management,536,,5
-9897193.5889,3409629.1082,Federal,,22210,Bureau of Ocean Energy Management,537,,A
-9897282.2032,3409682.8299,Federal,,22210,Bureau of Ocean Energy Management,538,,CF
-9879178.1097,3396591.8306,Federal,,22223,Bureau of Ocean Energy Management,539,,A
-9995856.1614,3330271.6067,Federal,,22224,Bureau of Ocean Energy Management,540,,A
-9936139.6937,3372464.0802,Federal,,22247,Bureau of Ocean Energy Management,541,,193
-9899719.1148,3407956.9063,Federal,,22289,Bureau of Ocean Energy Management,542,,B
-9996696.6185,3350857.6243,Federal,,22296,Bureau of Ocean Energy Management,543,,G
-9901063.3076,3379425.5316,Federal,,22087,Bureau of Ocean Energy Management,544,,C
-9922500.6385,3430339.4536,Federal,,22103,Bureau of Ocean Energy Management,545,,A
-10066873.6081,3365896.1333,Federal,,22122,Bureau of Ocean Energy Management,546,,E
-9952643.0189,3354142.7146,Federal,,22123,Bureau of Ocean Energy Management,547,,A
-9841700.7407,3406236.2659,Federal,,22131,Bureau of Ocean Energy Management,548,,A
-9952876.6576,3332843.8995,Federal,,22172,Bureau of Ocean Energy Management,549,,A
-10028044.4304,3369128.8551,Federal,,22891,Bureau of Ocean Energy Management,550,,P
-9913103.601,3414573.5988,Federal,,22910,Bureau of Ocean Energy Management,551,,1
-9912948.8351,3413995.7859,Federal,,22913,Bureau of Ocean Energy Management,552,,B
-9912460.3773,3414460.2428,Federal,,22914,Bureau of Ocean Energy Management,553,,5
-9913300.9675,3415277.7401,Federal,,22915,Bureau of Ocean Energy Management,554,,6
-9913362.219,3413511.8441,Federal,,22916,Bureau of Ocean Energy Management,555,,7
-9913936.5093,3415454.0392,Federal,,22918,Bureau of Ocean Energy Management,556,,9
-9913015.3252,3414322.2566,Federal,,22919,Bureau of Ocean Energy Management,557,,10
-9914067.1062,3414339.3655,Federal,,22920,Bureau of Ocean Energy Management,558,,11
-9913997.4261,3413713.775,Federal,,22921,Bureau of Ocean Energy Management,559,,12
-9951406.6318,3353070.8932,Federal,,22763,Bureau of Ocean Energy Management,560,,C
-9951589.2001,3355823.3179,Federal,,22776,Bureau of Ocean Energy Management,561,,B
-9913526.0936,3414162.1732,Federal,,22798,Bureau of Ocean Energy Management,562,,A
-9913562.4456,3414125.6844,Federal,,22798,Bureau of Ocean Energy Management,563,,AQ
-10072443.7573,3357696.7101,Federal,,22839,Bureau of Ocean Energy Management,564,,20
-10021678.3794,3367136.7163,Federal,,22847,Bureau of Ocean Energy Management,565,,L
-10065151.3381,3354500.0555,Federal,,22695,Bureau of Ocean Energy Management,566,,G
-10065096.6773,3354428.6417,Federal,,22695,Bureau of Ocean Energy Management,567,,G-QTR
-10048673.0047,3334512.9597,Federal,,22711,Bureau of Ocean Energy Management,568,,X
-9900384.4569,3382650.2997,Federal,,22717,Bureau of Ocean Energy Management,569,,A
-9868403.7372,3434609.3268,Federal,,22739,Bureau of Ocean Energy Management,570,,CA
-9870139.9307,3405438.8842,Federal,,22749,Bureau of Ocean Energy Management,571,,B
-9906047.7666,3424315.0343,Federal,,22752,Bureau of Ocean Energy Management,572,,CD
-10071809.5065,3362667.6833,Federal,,22630,Bureau of Ocean Energy Management,573,,CC
-10061151.064,3312324.1585,Federal,,22651,Bureau of Ocean Energy Management,574,,CA
-9882866.6561,3391780.9756,Federal,,22657,Bureau of Ocean Energy Management,575,,A
-9950587.15,3335070.4476,Federal,,22662,Bureau of Ocean Energy Management,576,,B
-9994280.2711,3354279.0185,Federal,,22663,Bureau of Ocean Energy Management,577,,B
